event_id,event_time,latitude,longitude,depth_km,magnitude,nn_log_eta_b0,parent_id,parent_distance_km,parent_dt_days,parent_lat,parent_lon,parent_depth
20862,2020-01-13 18:18:00,13.91,120.9,6.0,3.9,-10.705078872989905,20789.0,0.0,0.22777777777777777,13.91,120.9,6.0
20903,2020-01-13 22:13:00,14.02,120.95,11.0,3.3,-10.998236245554,20877.0,0.0,0.11597222222222223,14.02,120.95,11.0
20933,2020-01-14 00:57:00,13.94,120.9,9.0,2.9,-10.26191132438049,20742.0,0.0,0.6319444444444444,13.94,120.9,9.0
20950,2020-01-14 02:48:00,14.03,120.91,20.0,2.6,-11.18352621876096,20934.0,0.0,0.07569444444444444,14.03,120.91,20.0
20956,2020-01-14 03:43:00,14.06,120.91,11.0,2.5,-10.128232072017486,20711.0,0.0,0.8597222222222223,14.06,120.91,11.0
21030,2020-01-14 13:01:00,14.06,121.18,35.0,2.1,-9.991783014162483,20723.0,0.0,1.1770833333333333,14.06,121.18,35.0
21052,2020-01-14 16:22:00,13.99,120.88,34.0,1.8,-10.752605386289426,21017.0,0.0,0.20416666666666666,13.99,120.88,34.0
21078,2020-01-14 19:41:00,13.96,120.95,17.0,3.2,-10.036261285883985,20861.0,0.0,1.0625,13.96,120.95,17.0
21101,2020-01-14 22:34:00,13.97,121.11,26.0,1.9,-9.785267578759955,20670.0,0.0,1.89375,13.97,121.11,26.0
21102,2020-01-14 22:42:00,13.95,120.89,7.0,2.0,-9.983911925322394,20855.0,0.0,1.198611111111111,13.95,120.89,7.0
21119,2020-01-15 00:36:00,14.0,120.94,1.0,2.1,-10.998236245554,21094.0,0.0,0.11597222222222223,14.0,120.94,1.0
21134,2020-01-15 02:00:00,13.99,120.82,1.0,2.3,-9.727494665706395,20647.0,0.0,2.1631944444444446,13.99,120.82,1.0
